R/O Sort descending,Half,Country,Participant,Song,Points,Rank,Year,Format
8,—,Belgium,Iris,Would You?,16.0,17th,2012,first-semi-final
9,—,Finland,Pernilla,När Jag Blundar,41.0,12th,2012,first-semi-final
10,—,Israel,Izabo,Time,33.0,13th,2012,first-semi-final
11,—,San Marino,Valentina Monetta,The Social Network Song (Oh Oh – Uh - Oh Oh),31.0,14th,2012,first-semi-final
12,—,Cyprus,Ivi Adamouqualified,La La Love,91.0,7th,2012,first-semi-final
13,—,Denmark,Soluna Samayqualified,Should've Known Better,63.0,9th,2012,first-semi-final
14,—,Russia,Buranovskiye Babushkiqualified,Party For Everybody,152.0,1st,2012,first-semi-final
15,—,Hungary,Compact Discoqualified,Sound Of Our Hearts,52.0,10th,2012,first-semi-final
16,—,Austria,Trackshittaz,Woki Mit Deim Popo,8.0,18th,2012,first-semi-final
17,—,Moldova,Pasha Parfenyqualified,Lăutar,100.0,5th,2012,first-semi-final
18,—,Ireland,Jedwardqualified,Waterline,92.0,6th,2012,first-semi-final
1,—,Serbia,Željko Joksimovićqualified,Nije Ljubav Stvar,159.0,2nd,2012,second-semi-final
2,—,North Macedonia,Kaliopiqualified,Crno I Belo,53.0,9th,2012,second-semi-final
3,—,Netherlands,Joan Franka,You And Me,35.0,15th,2012,second-semi-final
4,—,Malta,Kurt Callejaqualified,This Is The Night,70.0,7th,2012,second-semi-final
5,—,Belarus,Litesound,We Are The Heroes,35.0,16th,2012,second-semi-final
6,—,Portugal,Filipa Sousa,Vida Minha,39.0,13th,2012,second-semi-final
7,—,Ukraine,Gaitanaqualified,Be My Guest,64.0,8th,2012,second-semi-final
8,—,Bulgaria,Sofi Marinova,Love Unlimited,45.0,11th,2012,second-semi-final
9,—,Slovenia,Eva Boto,Verjamem,31.0,17th,2012,second-semi-final
10,—,Croatia,Nina Badrić,Nebo,42.0,12th,2012,second-semi-final
11,—,Sweden,Loreenqualified,Euphoria,181.0,1st,2012,second-semi-final
12,—,Georgia,Anri Jokhadze,I'm A Joker,36.0,14th,2012,second-semi-final
13,—,Türkiye,Can Bonomoqualified,Love Me Back,80.0,5th,2012,second-semi-final
14,—,Estonia,Ott Leplandqualified,Kuula,100.0,4th,2012,second-semi-final
15,—,Slovakia,Max Jason Mai,Don't Close Your Eyes,22.0,18th,2012,second-semi-final
16,—,Norway,Toojiqualified,Stay,45.0,10th,2012,second-semi-final
17,—,Bosnia & Herzegovina,Maya Sarqualified,Korake Ti Znam,77.0,6th,2012,second-semi-final
18,—,Lithuania,Donny Montellqualified,Love Is Blind,104.0,3rd,2012,second-semi-final
1,—,United Kingdom,Engelbert Humperdinck,Love Will Set You Free,12.0,25th,2012,grand-final
2,—,Hungary,Compact Disco,Sound Of Our Hearts,19.0,24th,2012,grand-final
3,—,Albania,Rona Nishliu,Suus,146.0,5th,2012,grand-final
4,—,Lithuania,Donny Montell,Love Is Blind,70.0,14th,2012,grand-final
5,—,Bosnia & Herzegovina,Maya Sar,Korake Ti Znam,55.0,18th,2012,grand-final
6,—,Russia,Buranovskiye Babushki,Party For Everybody,259.0,2nd,2012,grand-final
7,—,Iceland,Greta Salóme & Jónsi,Never Forget,46.0,20th,2012,grand-final
8,—,Cyprus,Ivi Adamou,La La Love,65.0,16th,2012,grand-final
9,—,France,Anggun,Echo (You And I),21.0,22nd,2012,grand-final
10,—,Italy,Nina Zilli,L'Amore È Femmina (Out Of Love),101.0,9th,2012,grand-final
11,—,Estonia,Ott Lepland,Kuula,120.0,6th,2012,grand-final
12,—,Norway,Tooji,Stay,7.0,26th,2012,grand-final
13,—,Azerbaijan,Sabina Babayeva,When The Music Dies,150.0,4th,2012,grand-final
14,—,Romania,Mandinga,Zaleilah,71.0,12th,2012,grand-final
15,—,Denmark,Soluna Samay,Should've Known Better,21.0,23rd,2012,grand-final
16,—,Greece,Eleftheria Eleftheriou,Aphrodisiac,64.0,17th,2012,grand-final
17,—,Sweden,Loreen,Euphoria,372.0,1st,2012,grand-final
18,—,Türkiye,Can Bonomo,Love Me Back,112.0,7th,2012,grand-final
19,—,Spain,Pastora Soler,Quédate Conmigo (Stay With Me),97.0,10th,2012,grand-final
20,—,Germany,Roman Lob,Standing Still,110.0,8th,2012,grand-final
21,—,Malta,Kurt Calleja,This Is The Night,41.0,21st,2012,grand-final
22,—,North Macedonia,Kaliopi,Crno I Belo,71.0,13th,2012,grand-final
23,—,Ireland,Jedward,Waterline,46.0,19th,2012,grand-final
24,—,Serbia,Željko Joksimović,Nije Ljubav Stvar,214.0,3rd,2012,grand-final
25,—,Ukraine,Gaitana,Be My Guest,65.0,15th,2012,grand-final
26,—,Moldova,Pasha Parfeny,Lăutar,81.0,11th,2012,grand-final
1,—,Austria,Natália Kelly,Shine,27.0,14th,2013,first-semi-final
2,—,Estonia,Birgitqualified,Et Uus Saaks Alguse,52.0,10th,2013,first-semi-final
3,—,Slovenia,Hannah,Straight Into Love,8.0,16th,2013,first-semi-final
4,—,Croatia,Klapa s mora,Mižerja,38.0,13th,2013,first-semi-final
5,—,Denmark,Emmelie de Forestqualified,Only Teardrops,167.0,1st,2013,first-semi-final
6,—,Russia,Dina Garipovaqualified,What If,156.0,2nd,2013,first-semi-final
7,—,Ukraine,Zlata Ognevichqualified,Gravity,140.0,3rd,2013,first-semi-final
8,—,Netherlands,Anoukqualified,Birds,75.0,6th,2013,first-semi-final
9,—,Montenegro,Who See,Igranka,41.0,12th,2013,first-semi-final
10,—,Lithuania,Andrius Pojavisqualified,Something,53.0,9th,2013,first-semi-final
11,—,Belarus,Alyona Lanskayaqualified,Solayoh,64.0,7th,2013,first-semi-final
12,—,Moldova,Aliona Moonqualified,O Mie,95.0,4th,2013,first-semi-final
13,—,Ireland,Ryan Dolanqualified,Only Love Survives,54.0,8th,2013,first-semi-final
14,—,Cyprus,Despina Olympiou,An Me Thimasai,11.0,15th,2013,first-semi-final
15,—,Belgium,Roberto Bellarosaqualified,Love Kills,75.0,5th,2013,first-semi-final
16,—,Serbia,Moje 3,Ljubav Je Svuda,46.0,11th,2013,first-semi-final
1,—,Latvia,PeR,Here We Go,13.0,17th,2013,second-semi-final
2,—,San Marino,Valentina Monetta,Crisalide (Vola),47.0,11th,2013,second-semi-final
3,—,North Macedonia,Esma & Lozano,Pred Da Se Razdeni,28.0,16th,2013,second-semi-final
4,—,Azerbaijan,Farid Mammadovqualified,Hold Me,139.0,1st,2013,second-semi-final
5,—,Finland,Krista Siegfridsqualified,Marry Me,64.0,9th,2013,second-semi-final
6,—,Malta,Gianlucaqualified,Tomorrow,118.0,4th,2013,second-semi-final
7,—,Bulgaria,"Elitsa Todorova, Stoyan Yankulov",Samo Shampioni (Only Champions),45.0,12th,2013,second-semi-final
8,—,Iceland,Eythor Ingiqualified,Ég Á Líf,72.0,6th,2013,second-semi-final
9,—,Greece,Koza Mostra feat. Agathon Iakovidisqualified,Alcohol Is Free,121.0,2nd,2013,second-semi-final
10,—,Israel,Moran Mazor,Rak Bishvilo,40.0,14th,2013,second-semi-final
11,—,Armenia,Doriansqualified,Lonely Planet,69.0,7th,2013,second-semi-final
12,—,Hungary,ByeAlexqualified,Kedvesem (Zoohacker Remix),66.0,8th,2013,second-semi-final
13,—,Norway,Margaret Bergerqualified,I Feed You My Love,120.0,3rd,2013,second-semi-final
14,—,Albania,Adrian Lulgjuraj & Bledar Sejko,Identitet,31.0,15th,2013,second-semi-final
15,—,Georgia,Nodi Tatishvili & Sophie Gelovaniqualified,Waterfall,63.0,10th,2013,second-semi-final
16,—,Switzerland,Takasa,You And Me,41.0,13th,2013,second-semi-final
17,—,Romania,Cezarqualified,It's My Life,83.0,5th,2013,second-semi-final
1,—,France,Amandine Bourgeois,L'enfer Et Moi,14.0,23rd,2013,grand-final
2,—,Lithuania,Andrius Pojavis,Something,17.0,22nd,2013,grand-final
3,—,Moldova,Aliona Moon,O Mie,71.0,11th,2013,grand-final
4,—,Finland,Krista Siegfrids,Marry Me,13.0,24th,2013,grand-final
5,—,Spain,ESDM,Contigo Hasta El Final (With You Until The End),8.0,25th,2013,grand-final
6,—,Belgium,Roberto Bellarosa,Love Kills,71.0,12th,2013,grand-final
7,—,Estonia,Birgit,Et Uus Saaks Alguse,19.0,20th,2013,grand-final
8,—,Belarus,Alyona Lanskaya,Solayoh,48.0,16th,2013,grand-final
9,—,Malta,Gianluca,Tomorrow,120.0,8th,2013,grand-final
10,—,Russia,Dina Garipova,What If,174.0,5th,2013,grand-final
11,—,Germany,Cascada,Glorious,18.0,21st,2013,grand-final
12,—,Armenia,Dorians,Lonely Planet,41.0,18th,2013,grand-final
13,—,Netherlands,Anouk,Birds,114.0,9th,2013,grand-final
14,—,Romania,Cezar,It's My Life,65.0,13th,2013,grand-final
15,—,United Kingdom,Bonnie Tyler,Believe In Me,23.0,19th,2013,grand-final
16,—,Sweden,Robin Stjernberg,You,62.0,14th,2013,grand-final
17,—,Hungary,ByeAlex,Kedvesem (Zoohacker Remix),84.0,10th,2013,grand-final
18,—,Denmark,Emmelie de Forest,Only Teardrops,281.0,1st,2013,grand-final
19,—,Iceland,Eythor Ingi,Ég Á Líf,47.0,17th,2013,grand-final
20,—,Azerbaijan,Farid Mammadov,Hold Me,234.0,2nd,2013,grand-final
21,—,Greece,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,152.0,6th,2013,grand-final
22,—,Ukraine,Zlata Ognevich,Gravity,214.0,3rd,2013,grand-final
23,—,Italy,Marco Mengoni,L'Essenziale,126.0,7th,2013,grand-final
24,—,Norway,Margaret Berger,I Feed You My Love,191.0,4th,2013,grand-final
25,—,Georgia,Nodi Tatishvili & Sophie Gelovani,Waterfall,50.0,15th,2013,grand-final
26,—,Ireland,Ryan Dolan,Only Love Survives,5.0,26th,2013,grand-final
1,—,Armenia,Aram MP3qualified,Not Alone,121.0,4th,2014,first-semi-final
2,—,Latvia,Aarzemnieki,Cake To Bake,33.0,13th,2014,first-semi-final
3,—,Estonia,Tanja,Amazing,36.0,12th,2014,first-semi-final
4,—,Sweden,Sanna Nielsenqualified,Undo,131.0,2nd,2014,first-semi-final
5,—,Iceland,Pollapönkqualified,No Prejudice,61.0,8th,2014,first-semi-final
6,—,Albania,Hersi,One Night's Anger,22.0,15th,2014,first-semi-final
7,—,Russia,Tolmachevy Sistersqualified,Shine,63.0,6th,2014,first-semi-final
8,—,Azerbaijan,Dilara Kazimovaqualified,Start A Fire,57.0,9th,2014,first-semi-final
9,—,Ukraine,Mariya Yaremchukqualified,Tick - Tock,118.0,5th,2014,first-semi-final
10,—,Belgium,Axel Hirsoux,Mother,28.0,14th,2014,first-semi-final
11,—,Moldova,Cristina Scarlat,Wild Soul,13.0,16th,2014,first-semi-final
12,—,San Marino,Valentina Monettaqualified,Maybe (Forse),40.0,10th,2014,first-semi-final
13,—,Portugal,Suzy,Quero Ser Tua,39.0,11th,2014,first-semi-final
14,—,Netherlands,The Common Linnetsqualified,Calm After The Storm,150.0,1st,2014,first-semi-final
15,—,Montenegro,Sergej Ćetkovićqualified,Moj Svijet,63.0,7th,2014,first-semi-final
16,—,Hungary,András Kállay-Saundersqualified,Running,127.0,3rd,2014,first-semi-final
1,—,Malta,Firelightqualified,Coming Home,63.0,9th,2014,second-semi-final
2,—,Israel,Mei Finegold,Same Heart,19.0,14th,2014,second-semi-final
3,—,Norway,Carl Espenqualified,Silent Storm,77.0,6th,2014,second-semi-final
4,—,Georgia,The Shin and Mariko,Three Minutes to Earth,15.0,15th,2014,second-semi-final
5,—,Poland,Donatan & Cleoqualified,My Słowianie - We Are Slavic,70.0,8th,2014,second-semi-final
6,—,Austria,Conchita Wurstqualified,Rise Like a Phoenix,169.0,1st,2014,second-semi-final
7,—,Lithuania,Vilija Matačiūnaitė,Attention,36.0,11th,2014,second-semi-final
8,—,Finland,Softenginequalified,Something Better,97.0,3rd,2014,second-semi-final
9,—,Ireland,Can-Linn (featuring Kasey Smith),Heartbeat,35.0,12th,2014,second-semi-final
10,—,Belarus,Teoqualified,Cheesecake,87.0,5th,2014,second-semi-final
11,—,North Macedonia,Tijana,To the Sky,33.0,13th,2014,second-semi-final
12,—,Switzerland,Sebalterqualified,Hunter Of Stars,92.0,4th,2014,second-semi-final
13,—,Greece,Freaky Fortune feat. RiskyKiddqualified,Rise Up,74.0,7th,2014,second-semi-final
14,—,Slovenia,Tinkara Kovačqualified,Round and round,52.0,10th,2014,second-semi-final
15,—,Romania,Paula Seling & OVIqualified,Miracle,125.0,2nd,2014,second-semi-final
1,—,Ukraine,Mariya Yaremchuk,Tick - Tock,113.0,6th,2014,grand-final
2,—,Belarus,Teo,Cheesecake,43.0,16th,2014,grand-final
3,—,Azerbaijan,Dilara Kazimova,Start A Fire,33.0,22nd,2014,grand-final
4,—,Iceland,Pollapönk,No Prejudice,58.0,15th,2014,grand-final
5,—,Norway,Carl Espen,Silent Storm,88.0,8th,2014,grand-final
6,—,Romania,Paula Seling & OVI,Miracle,72.0,12th,2014,grand-final
7,—,Armenia,Aram MP3,Not Alone,174.0,4th,2014,grand-final
8,—,Montenegro,Sergej Ćetković,Moj Svijet,37.0,19th,2014,grand-final
9,—,Poland,Donatan & Cleo,My Słowianie - We Are Slavic,62.0,14th,2014,grand-final
10,—,Greece,Freaky Fortune feat. RiskyKidd,Rise Up,35.0,20th,2014,grand-final
11,—,Austria,Conchita Wurst,Rise Like a Phoenix,290.0,1st,2014,grand-final
12,—,Germany,Elaiza,Is it right,39.0,18th,2014,grand-final
13,—,Sweden,Sanna Nielsen,Undo,218.0,3rd,2014,grand-final
14,—,France,TWIN TWIN,Moustache,2.0,26th,2014,grand-final
15,—,Russia,Tolmachevy Sisters,Shine,89.0,7th,2014,grand-final
16,—,Italy,Emma,La Mia Città,33.0,21st,2014,grand-final
17,—,Slovenia,Tinkara Kovač,Round and round,9.0,25th,2014,grand-final
18,—,Finland,Softengine,Something Better,72.0,11th,2014,grand-final
19,—,Spain,Ruth Lorenzo,Dancing in the rain,74.0,10th,2014,grand-final
20,—,Switzerland,Sebalter,Hunter Of Stars,64.0,13th,2014,grand-final
21,—,Hungary,András Kállay-Saunders,Running,143.0,5th,2014,grand-final
22,—,Malta,Firelight,Coming Home,32.0,23rd,2014,grand-final
23,—,Denmark,Basim,Cliche Love Song,74.0,9th,2014,grand-final
24,—,Netherlands,The Common Linnets,Calm After The Storm,238.0,2nd,2014,grand-final
25,—,San Marino,Valentina Monetta,Maybe (Forse),14.0,24th,2014,grand-final
26,—,United Kingdom,Molly,Children of the Universe,40.0,17th,2014,grand-final
1,—,Moldova,Eduard Romanyuta,I Want Your Love,41.0,11th,2015,first-semi-final
2,—,Armenia,Genealogyqualified,Face The Shadow,77.0,7th,2015,first-semi-final
3,—,Belgium,Loïc Nottetqualified,Rhythm Inside,149.0,2nd,2015,first-semi-final
4,—,Netherlands,Trijntje Oosterhuis,Walk Along,33.0,14th,2015,first-semi-final
5,—,Finland,Pertti Kurikan Nimipäivät,Aina Mun Pitää,13.0,16th,2015,first-semi-final
6,—,Greece,Maria Elena Kyriakouqualified,One Last Breath,81.0,6th,2015,first-semi-final
7,—,Estonia,Elina Born & Stig Rästaqualified,Goodbye To Yesterday,105.0,3rd,2015,first-semi-final
8,—,North Macedonia,Daniel Kajmakoski,Autumn Leaves,28.0,15th,2015,first-semi-final
9,—,Serbia,Bojana Stamenovqualified,Beauty Never Lies,63.0,9th,2015,first-semi-final
10,—,Hungary,Boggiequalified,Wars For Nothing,67.0,8th,2015,first-semi-final
11,—,Belarus,Uzari&Maimuna,Time,39.0,12th,2015,first-semi-final
12,—,Russia,Polina Gagarinaqualified,A Million Voices,182.0,1st,2015,first-semi-final
13,—,Denmark,Anti Social Media,The Way You Are,33.0,13th,2015,first-semi-final
14,—,Albania,Elhaida Daniqualified,I'm Alive,62.0,10th,2015,first-semi-final
15,—,Romania,Voltajqualified,De La Capat/ All Over Again,89.0,5th,2015,first-semi-final
16,—,Georgia,Nina Sublattiqualified,Warrior,98.0,4th,2015,first-semi-final
1,—,Lithuania,Monika Linkytė and Vaidas Baumilaqualified,This Time,67.0,7th,2015,second-semi-final
2,—,Ireland,Molly Sterling,Playing With Numbers,35.0,12th,2015,second-semi-final
3,—,San Marino,Anita Simoncini & Michele Perniola,Chain of Lights,11.0,16th,2015,second-semi-final
4,—,Montenegro,Knezqualified,Adio,57.0,9th,2015,second-semi-final
5,—,Malta,Amber,Warrior,43.0,11th,2015,second-semi-final
6,—,Norway,Mørland & Debrah Scarlettqualified,A Monster Like Me,123.0,4th,2015,second-semi-final
7,—,Portugal,Leonor Andrade,Há Um Mar Que Nos Separa,19.0,14th,2015,second-semi-final
8,—,Czech Republic,Marta Jandová and Václav Noid Bárta,Hope Never Dies,33.0,13th,2015,second-semi-final
9,—,Israel,Nadav Guedjqualified,Golden Boy,151.0,3rd,2015,second-semi-final
10,—,Latvia,Aminataqualified,Love Injected,155.0,2nd,2015,second-semi-final
11,—,Azerbaijan,Elnur Huseynovqualified,Hour Of The Wolf,53.0,10th,2015,second-semi-final
12,—,Iceland,Maria Olafs,Unbroken,14.0,15th,2015,second-semi-final
13,—,Sweden,Måns Zelmerlöwqualified,Heroes,217.0,1st,2015,second-semi-final
14,—,Switzerland,Mélanie René,Time To Shine,4.0,17th,2015,second-semi-final
15,—,Cyprus,John Karayiannisqualified,One Thing I Should Have Done,87.0,6th,2015,second-semi-final
16,—,Slovenia,Maraayaqualified,Here For You,92.0,5th,2015,second-semi-final
17,—,Poland,Monika Kuszyńskaqualified,In The Name Of Love,57.0,8th,2015,second-semi-final
1,—,Slovenia,Maraaya,Here For You,39.0,14th,2015,grand-final
2,—,France,Lisa Angell,N'oubliez Pas,4.0,25th,2015,grand-final
3,—,Israel,Nadav Guedj,Golden Boy,97.0,9th,2015,grand-final
4,—,Estonia,Elina Born & Stig Rästa,Goodbye To Yesterday,106.0,7th,2015,grand-final
5,—,United Kingdom,Electro Velvet,Still In Love With You,5.0,24th,2015,grand-final
6,—,Armenia,Genealogy,Face The Shadow,34.0,16th,2015,grand-final
7,—,Lithuania,Monika Linkytė and Vaidas Baumila,This Time,30.0,18th,2015,grand-final
8,—,Serbia,Bojana Stamenov,Beauty Never Lies,53.0,10th,2015,grand-final
9,—,Norway,Mørland & Debrah Scarlett,A Monster Like Me,102.0,8th,2015,grand-final
10,—,Sweden,Måns Zelmerlöw,Heroes,365.0,1st,2015,grand-final
11,—,Cyprus,John Karayiannis,One Thing I Should Have Done,11.0,22nd,2015,grand-final
12,—,Australia,Guy Sebastian,Tonight Again,196.0,5th,2015,grand-final
13,—,Belgium,Loïc Nottet,Rhythm Inside,217.0,4th,2015,grand-final
14,—,Austria,The Makemakes,I Am Yours,0.0,26th,2015,grand-final
15,—,Greece,Maria Elena Kyriakou,One Last Breath,23.0,19th,2015,grand-final
16,—,Montenegro,Knez,Adio,44.0,13th,2015,grand-final
17,—,Germany,Ann Sophie,Black Smoke,0.0,27th,2015,grand-final
18,—,Poland,Monika Kuszyńska,In The Name Of Love,10.0,23rd,2015,grand-final
19,—,Latvia,Aminata,Love Injected,186.0,6th,2015,grand-final
20,—,Romania,Voltaj,De La Capat/ All Over Again,35.0,15th,2015,grand-final
21,—,Spain,Edurne,Amanecer,15.0,21st,2015,grand-final
22,—,Hungary,Boggie,Wars For Nothing,19.0,20th,2015,grand-final
23,—,Georgia,Nina Sublatti,Warrior,51.0,11th,2015,grand-final
24,—,Azerbaijan,Elnur Huseynov,Hour Of The Wolf,49.0,12th,2015,grand-final
25,—,Russia,Polina Gagarina,A Million Voices,303.0,2nd,2015,grand-final
26,—,Albania,Elhaida Dani,I'm Alive,34.0,17th,2015,grand-final
27,—,Italy,Il Volo,Grande Amore,292.0,3rd,2015,grand-final
1,—,Finland,Sandhja,Sing It Away,51.0,15th,2016,first-semi-final
2,—,Greece,Argo,Utopian Land,44.0,16th,2016,first-semi-final
3,—,Moldova,Lidia Isac,Falling Stars,33.0,17th,2016,first-semi-final
4,—,Hungary,Freddiequalified,Pioneer,197.0,4th,2016,first-semi-final
5,—,Croatia,Nina Kraljićqualified,Lighthouse,133.0,10th,2016,first-semi-final
6,—,Netherlands,Douwe Bobqualified,Slow Down,197.0,5th,2016,first-semi-final
7,—,Armenia,Iveta Mukuchyanqualified,LoveWave,243.0,2nd,2016,first-semi-final
8,—,San Marino,Serhat,I Didn't Know,68.0,12th,2016,first-semi-final
9,—,Russia,Sergey Lazarevqualified,You Are The Only One,342.0,1st,2016,first-semi-final
10,—,Czech Republic,Gabriela Gunčíkováqualified,I Stand,161.0,9th,2016,first-semi-final
11,—,Cyprus,Minus Onequalified,Alter Ego,164.0,8th,2016,first-semi-final
12,—,Austria,ZOËqualified,Loin d'ici,170.0,7th,2016,first-semi-final
13,—,Estonia,Jüri Pootsmann,Play,24.0,18th,2016,first-semi-final
14,—,Azerbaijan,Samraqualified,Miracle,185.0,6th,2016,first-semi-final
15,—,Montenegro,Highway,The Real Thing,60.0,13th,2016,first-semi-final
16,—,Iceland,Greta Salóme,Hear Them Calling,51.0,14th,2016,first-semi-final
17,—,Bosnia & Herzegovina,Dalal & Deen feat. Ana Rucner and Jala,Ljubav Je,104.0,11th,2016,first-semi-final
18,—,Malta,Ira Loscoqualified,Walk On Water,209.0,3rd,2016,first-semi-final
1,—,Latvia,Justsqualified,Heartbeat,132.0,8th,2016,second-semi-final
2,—,Poland,Michał Szpakqualified,Color Of Your Life,151.0,6th,2016,second-semi-final
3,—,Switzerland,Rykka,The Last Of Our Kind,28.0,18th,2016,second-semi-final
4,—,Israel,Hovi Starqualified,Made Of Stars,147.0,7th,2016,second-semi-final
5,—,Belarus,IVAN,Help You Fly,84.0,12th,2016,second-semi-final
6,—,Serbia,Sanja Vučić ZAAqualified,Goodbye (Shelter),105.0,10th,2016,second-semi-final
7,—,Ireland,Nicky Byrne,Sunlight,46.0,15th,2016,second-semi-final
8,—,North Macedonia,Kaliopi,Dona,88.0,11th,2016,second-semi-final
9,—,Lithuania,Donny Montellqualified,I've Been Waiting for This Night,222.0,4th,2016,second-semi-final
10,—,Australia,Dami Imqualified,Sound Of Silence,330.0,1st,2016,second-semi-final
11,—,Slovenia,ManuElla,Blue And Red,57.0,14th,2016,second-semi-final
12,—,Bulgaria,Poli Genovaqualified,If Love Was A Crime,220.0,5th,2016,second-semi-final
13,—,Denmark,Lighthouse X,Soldiers Of Love,34.0,17th,2016,second-semi-final
14,—,Ukraine,Jamalaqualified,1944,287.0,2nd,2016,second-semi-final
15,—,Norway,Agnete,Icebreaker,63.0,13th,2016,second-semi-final
16,—,Georgia,Nika Kocharov and Young Georgian Lolitazqualified,Midnight Gold,123.0,9th,2016,second-semi-final
17,—,Albania,Eneda Tarifa,Fairytale,45.0,16th,2016,second-semi-final
18,—,Belgium,Laura Tesoroqualified,What's The Pressure,274.0,3rd,2016,second-semi-final
1,—,Belgium,Laura Tesoro,What's The Pressure,181.0,10th,2016,grand-final
2,—,Czech Republic,Gabriela Gunčíková,I Stand,41.0,25th,2016,grand-final
3,—,Netherlands,Douwe Bob,Slow Down,153.0,11th,2016,grand-final
4,—,Azerbaijan,Samra,Miracle,117.0,17th,2016,grand-final
5,—,Hungary,Freddie,Pioneer,108.0,19th,2016,grand-final
6,—,Italy,Francesca Michielin,No Degree Of Separation,124.0,16th,2016,grand-final
7,—,Israel,Hovi Star,Made Of Stars,135.0,14th,2016,grand-final
8,—,Bulgaria,Poli Genova,If Love Was A Crime,307.0,4th,2016,grand-final
9,—,Sweden,Frans,If I Were Sorry,261.0,5th,2016,grand-final
10,—,Germany,Jamie-Lee,Ghost,11.0,26th,2016,grand-final
11,—,France,Amir,J'ai cherché,257.0,6th,2016,grand-final
12,—,Poland,Michał Szpak,Color Of Your Life,229.0,8th,2016,grand-final
13,—,Australia,Dami Im,Sound Of Silence,511.0,2nd,2016,grand-final
14,—,Cyprus,Minus One,Alter Ego,96.0,21st,2016,grand-final
15,—,Serbia,Sanja Vučić ZAA,Goodbye (Shelter),115.0,18th,2016,grand-final
16,—,Lithuania,Donny Montell,I've Been Waiting for This Night,200.0,9th,2016,grand-final
17,—,Croatia,Nina Kraljić,Lighthouse,73.0,23rd,2016,grand-final
18,—,Russia,Sergey Lazarev,You Are The Only One,491.0,3rd,2016,grand-final
19,—,Spain,Barei,Say Yay!,77.0,22nd,2016,grand-final
20,—,Latvia,Justs,Heartbeat,132.0,15th,2016,grand-final
21,—,Ukraine,Jamala,1944,534.0,1st,2016,grand-final
22,—,Malta,Ira Losco,Walk On Water,153.0,12th,2016,grand-final
23,—,Georgia,Nika Kocharov and Young Georgian Lolitaz,Midnight Gold,104.0,20th,2016,grand-final
24,—,Austria,ZOË,Loin d'ici,151.0,13th,2016,grand-final
25,—,United Kingdom,Joe and Jake,You're Not Alone,62.0,24th,2016,grand-final
26,—,Armenia,Iveta Mukuchyan,LoveWave,249.0,7th,2016,grand-final
1,—,Sweden,Robin Bengtssonqualified,I Can't Go On,227.0,3rd,2017,first-semi-final
2,—,Georgia,Tamara Gachechiladze,Keep The Faith,99.0,11th,2017,first-semi-final
3,—,Australia,Isaiahqualified,Don't Come Easy,160.0,6th,2017,first-semi-final
4,—,Albania,Lindita,World,76.0,14th,2017,first-semi-final
5,—,Belgium,Blanchequalified,City Lights,165.0,4th,2017,first-semi-final
6,—,Montenegro,Slavko Kalezić,Space,56.0,16th,2017,first-semi-final
7,—,Finland,Norma John,Blackbird,92.0,12th,2017,first-semi-final
8,—,Azerbaijan,Dihajqualified,Skeletons,150.0,8th,2017,first-semi-final
9,—,Portugal,Salvador Sobralqualified,Amar Pelos Dois,370.0,1st,2017,first-semi-final
10,—,Greece,Demyqualified,This is Love,115.0,10th,2017,first-semi-final
11,—,Poland,Kasia Mośqualified,Flashlight,119.0,9th,2017,first-semi-final
12,—,Moldova,Sunstroke Projectqualified,Hey Mamma,291.0,2nd,2017,first-semi-final
13,—,Iceland,Svala,Paper,60.0,15th,2017,first-semi-final
14,—,Czech Republic,Martina Bárta,My Turn,83.0,13th,2017,first-semi-final
15,—,Cyprus,Hovigqualified,Gravity,164.0,5th,2017,first-semi-final
16,—,Armenia,Artsvikqualified,Fly With Me,152.0,7th,2017,first-semi-final
17,—,Slovenia,Omar Naber,On My Way,36.0,17th,2017,first-semi-final
18,—,Latvia,Triana Park,Line,21.0,18th,2017,first-semi-final
1,—,Serbia,Tijana Bogićević,In Too Deep,98.0,11th,2017,second-semi-final
2,—,Austria,Nathan Trentqualified,Running On Air,147.0,7th,2017,second-semi-final
3,—,North Macedonia,Jana Burčeska,Dance Alone,69.0,15th,2017,second-semi-final
4,—,Malta,Claudia Faniello,Breathlessly,55.0,16th,2017,second-semi-final
5,—,Romania,Ilinca ft. Alex Floreaqualified,Yodel It!,174.0,6th,2017,second-semi-final
6,—,Netherlands,OG3NEqualified,Lights and Shadows,200.0,4th,2017,second-semi-final
7,—,Hungary,Joci Pápaiqualified,Origo,231.0,2nd,2017,second-semi-final
8,—,Denmark,Anjaqualified,Where I Am,101.0,10th,2017,second-semi-final
9,—,Ireland,Brendan Murray,Dying to Try,86.0,13th,2017,second-semi-final
10,—,San Marino,Valentina Monetta and Jimmie Wilson,Spirit of the Night,1.0,18th,2017,second-semi-final
11,—,Croatia,Jacques Houdekqualified,My Friend,141.0,8th,2017,second-semi-final
12,—,Norway,JOWSTqualified,Grab The Moment,189.0,5th,2017,second-semi-final
13,—,Switzerland,Timebelle,Apollo,97.0,12th,2017,second-semi-final
14,—,Belarus,Navibandqualified,Story of My Life,110.0,9th,2017,second-semi-final
15,—,Bulgaria,Kristian Kostovqualified,Beautiful Mess,403.0,1st,2017,second-semi-final
16,—,Lithuania,Fusedmarc,Rain Of Revolution,42.0,17th,2017,second-semi-final
