R/O Sort descending,Half,Country,Participant,Song,Points,Rank,Year,Format
15,—,Monaco,Anne-Marie Godart and Peter MacLane,Comme On S'aime,65.0,16th,1972,final
16,—,Belgium,Serge and Christine Ghisoland,À La Folie Ou Pas Du Tout,55.0,17th,1972,final
17,—,Luxembourg,Vicky Leandros,Après Toi,128.0,1st,1972,final
18,—,Netherlands,Sandra and Andres,Als Het Om De Liefde Gaat,106.0,4th,1972,final
1,—,Finland,Marion Rung,Tom Tom Tom,93.0,6th,1973,final
2,—,Belgium,Nicole and Hugo,"Baby, Baby",58.0,17th,1973,final
3,—,Portugal,Fernando Tordo,Tourada,80.0,10th,1973,final
4,—,Germany,Gitte,Junger Tag,85.0,8th,1973,final
5,—,Norway,Bendik Singers,It's Just A Game,89.0,7th,1973,final
6,—,Monaco,Marie,Un Train Qui Part,85.0,8th,1973,final
7,—,Spain,Mocedades,Eres Tú,125.0,2nd,1973,final
8,—,Switzerland,Patrick Juvet,"Je Me Vais Marier, Marie",79.0,12th,1973,final
9,—,Yugoslavia,Zdravko Colic,Gori Vatra,65.0,15th,1973,final
10,—,Italy,Massimo Ranieri,Chi Sarà Con Te,74.0,13th,1973,final
11,—,Luxembourg,Anne-Marie David,Tu Te Reconnaîtras,129.0,1st,1973,final
12,—,Sweden,The Nova and The Dolls,You're Summer,94.0,5th,1973,final
13,—,Netherlands,Ben Cramer,De Oude Muzikant,69.0,14th,1973,final
14,—,Ireland,Maxi,Do I Dream?,80.0,10th,1973,final
15,—,United Kingdom,Cliff Richard,Power To All Our Friends,123.0,3rd,1973,final
16,—,France,Martine Clémenceau,Sans Toi,65.0,15th,1973,final
17,—,Israel,Ilanit,Ey-sham,97.0,4th,1973,final
1,—,Finland,Carita,Äla Mene Pois (Keep Me Warm),4.0,13th,1974,final
2,—,United Kingdom,Olivia Newton-John,Long Live Love,14.0,4th,1974,final
3,—,Spain,Peret,Canta Y Se Feliz,10.0,9th,1974,final
4,—,Norway,Anne-Karine Ström and the Bendik Singers,The First Day Of Love,3.0,14th,1974,final
5,—,Greece,Marinella,"Krassi, Thalassa Ke T'agori Mou",7.0,11th,1974,final
6,—,Israel,Poogy,Natati La Khaiai,11.0,7th,1974,final
7,—,Yugoslavia,Korni,Generacija 42,6.0,12th,1974,final
8,—,Sweden,ABBA,Waterloo,24.0,1st,1974,final
9,—,Luxembourg,Ireen Sheer,"Bye, Bye, I Love You",14.0,4th,1974,final
10,—,Monaco,Romuald,Celui Qui Reste Et Celui Qui S'en Va,14.0,4th,1974,final
11,—,Belgium,Jacques Hustin,Fleur De Liberté,10.0,9th,1974,final
12,—,Netherlands,Mouth and MacNeal,I See A Star,15.0,3rd,1974,final
13,—,Ireland,Tina,Cross Your Heart,11.0,7th,1974,final
14,—,Germany,Cindy und Bert,Die Sommermelodie,3.0,14th,1974,final
15,—,Switzerland,Piera Martell,Mein Ruf Nach Dir,3.0,14th,1974,final
16,—,Portugal,Paulo de Carvalho,E Depois Do Adeus,3.0,14th,1974,final
17,—,Italy,Gigliola Cinquetti,Si,18.0,2nd,1974,final
1,—,Netherlands,Teach-In,Ding-A-Dong,152.0,1st,1975,final
2,—,Ireland,The Swarbriggs,That's What Friends Are For,68.0,9th,1975,final
3,—,France,Nicole Rieu,Et Bonjour à Toi L'artiste,91.0,4th,1975,final
4,—,Germany,Joy Fleming,Ein Lied Kann Eine Brücke Sein,15.0,17th,1975,final
5,—,Luxembourg,Géraldine,Toi,84.0,5th,1975,final
6,—,Norway,Ellen Nikolaysen,You Touched My Life With Summer,11.0,18th,1975,final
7,—,Switzerland,Simone Drexel,Mikado,77.0,6th,1975,final
8,—,Yugoslavia,Pepel In Kri,Dan Ljubezni,22.0,13th,1975,final
9,—,United Kingdom,The Shadows,Let Me Be The One,138.0,2nd,1975,final
10,—,Malta,Renato,Singing This Song,32.0,12th,1975,final
11,—,Belgium,Ann Christy,Gelukkig Zijn,17.0,15th,1975,final
12,—,Israel,Shlomo Artzi,At Ve'ani,40.0,11th,1975,final
13,—,Türkiye,Semiha Yanki,Seninle Bir Dakika,3.0,19th,1975,final
14,—,Monaco,Sophie,Une Chanson C'est Une Lettre,22.0,13th,1975,final
15,—,Finland,Pihasoittajat,Old Man Fiddle,74.0,7th,1975,final
16,—,Portugal,Duarte Mendes,Madrugada,16.0,16th,1975,final
17,—,Spain,Sergio y Estíbaliz,Tú Volverás,53.0,10th,1975,final
18,—,Sweden,Lars Berghagen and the Dolls,"Jennie, Jennie",72.0,8th,1975,final
19,—,Italy,Wess and Dori Ghezzi,Era,115.0,3rd,1975,final
1,—,United Kingdom,Brotherhood of Man,Save Your Kisses For Me,164.0,1st,1976,final
2,—,Switzerland,"Peter, Sue and Marc","Djambo, Djambo",91.0,4th,1976,final
3,—,Germany,Les Humphries Singers,"Sing, Sang, Song",12.0,15th,1976,final
4,—,Israel,"Chocolate, Menta, Mastik",Emor Shalom,77.0,6th,1976,final
5,—,Luxembourg,Jürgen Marcus,Chansons Pour Ceux Qui S'aiment,17.0,14th,1976,final
6,—,Belgium,Pierre Rapsat,Judy Et Cie.,68.0,8th,1976,final
7,—,Ireland,Red Hurley,When,54.0,10th,1976,final
8,—,Netherlands,Sandra Reemer,The Party's Over Now,56.0,9th,1976,final
9,—,Norway,Anne-Karine Ström,Mata Hari,7.0,18th,1976,final
10,—,Greece,Mariza Koch,"Panaghia Mou, Panaghia Mou",20.0,13th,1976,final
11,—,Finland,Fredi and The Friends,Pump-pump,44.0,11th,1976,final
12,—,Spain,Braulio,Sobran Las Palabras,11.0,16th,1976,final
13,—,Italy,Romina and Al Bano,We'll Live It All Again,69.0,7th,1976,final
14,—,Austria,Waterloo and Robinson,My Little World,80.0,5th,1976,final
15,—,Portugal,Carlos do Carmo,Uma Flor De Verde Pinho,24.0,12th,1976,final
16,—,Monaco,Mary Christy,"Toi, La Musique Et Moi",93.0,3rd,1976,final
17,—,France,Catherine Ferry,"Un, Deux, Trois",147.0,2nd,1976,final
18,—,Yugoslavia,Ambasadori,Ne Mogu Skriti Svoju Bol,10.0,17th,1976,final
1,—,Ireland,The Swarbriggs Plus Two,It's Nice To Be In Love Again,119.0,3rd,1977,final
2,—,Monaco,Michèle Torr,Une Petite Française,96.0,4th,1977,final
3,—,Netherlands,Heddy Lester,De Mallemolen,35.0,12th,1977,final
4,—,Austria,Schmetterlinge,Boom Boom Boomerang,11.0,17th,1977,final
5,—,Norway,Anita Skorgan,Casanova,18.0,14th,1977,final
6,—,Germany,Silver Convention,Telegram,55.0,8th,1977,final
7,—,Luxembourg,Anne Marie B.,Frère Jacques,17.0,16th,1977,final
8,—,Portugal,Os Amigos,Portugal No Coração,18.0,14th,1977,final
9,—,United Kingdom,Lynsey de Paul and Mike Moran,Rock Bottom,121.0,2nd,1977,final
10,—,Greece,"Pascalis, Marianna, Robert and Bessy",Mathema Solfege,92.0,5th,1977,final
11,—,Israel,Ilanit,Ah-haa-vah Hee Shir Lish-naa-yim,49.0,11th,1977,final
12,—,Switzerland,Pepe Lienhard Band,Swiss Lady,71.0,6th,1977,final
13,—,Sweden,Forbes,Beatles,2.0,18th,1977,final
